Nota1, Nota2, Nota3, Nota4, Promedio
5, 8, 51, 14, 19.5, 
8, 5, 99, 18, 32.5, 
5, 10, 67, 14, 24.0, 
7, 7, 65, 14, 23.25, 
9, 9, 100, 14, 33.0, 
7, 7, 62, 13, 22.25, 
5, 6, 81, 14, 26.5, 
10, 7, 53, 20, 22.5, 
10, 9, 88, 17, 31.0, 
5, 9, 54, 17, 21.25, 
4, 8, 46, 16, 18.5, 
7, 9, 78, 15, 27.25, 
6, 7, 58, 20, 22.75, 
4, 8, 45, 15, 18.0, 
8, 9, 70, 18, 26.25, 
8, 4, 95, 14, 30.25, 
5, 8, 78, 19, 27.5, 
6, 5, 54, 14, 19.75, 
5, 6, 76, 13, 25.0, 
8, 8, 96, 20, 33.0, 
10, 6, 85, 18, 29.75, 
4, 10, 70, 13, 24.25, 
6, 7, 73, 20, 26.5, 
4, 9, 92, 14, 29.75, 
8, 5, 80, 17, 27.5, 
6, 9, 46, 15, 19.0, 
10, 6, 87, 13, 29.0, 
5, 9, 55, 17, 21.5, 
8, 9, 54, 16, 21.75, 
9, 10, 96, 20, 33.75, 
4, 7, 44, 13, 17.0, 
10, 10, 51, 15, 21.5, 
8, 6, 54, 19, 21.75, 
6, 7, 55, 17, 21.25, 
9, 8, 57, 13, 21.75, 
4, 5, 47, 19, 18.75, 
8, 9, 42, 13, 18.0, 
7, 8, 93, 20, 32.0, 
6, 4, 53, 15, 19.5, 
6, 10, 51, 13, 20.0, 
10, 5, 92, 18, 31.25, 
4, 5, 71, 14, 23.5, 
8, 8, 87, 20, 30.75, 
4, 8, 66, 18, 24.0, 
6, 4, 75, 14, 24.75, 
8, 9, 97, 16, 32.5, 
5, 5, 62, 19, 22.75, 
6, 9, 85, 18, 29.5, 
8, 4, 66, 14, 23.0, 
8, 5, 84, 16, 28.25, 
8, 6, 71, 17, 25.5, 
10, 10, 93, 14, 31.75, 
5, 8, 94, 19, 31.5, 
4, 9, 99, 14, 31.5, 
5, 7, 85, 15, 28.0, 
8, 8, 46, 14, 19.0, 
8, 4, 53, 20, 21.25, 
6, 6, 63, 13, 22.0, 
5, 4, 56, 20, 21.25, 
